Daily_SIF_740nm,Delta_Time,Latitude,Longitude,Lat_corner1,Lat_corner2,Lat_corner3,Lat_corner4,Lon_corner1,Lon_corner2,Lon_corner3,Lon_corner4,Quality_Flag,Meteo.specific_humidity,Meteo.surface_pressure,Meteo.temperature_skin,Meteo.temperature_two_meter,Meteo.vapor_pressure_deficit,Metadata.MeasurementMode,file_id,source_file,Delta_Date,state,sif_id,sif_year,mgrs_tile,crop_pixel_count,crop_count_no_data,crop_count_winter_wheat,crop_count_winter_barley,crop_count_winter_rye,crop_count_other_winter_cereals,crop_count_spring_wheat,crop_count_spring_barley,crop_count_spring_oat,crop_count_maize,crop_count_legumes,crop_count_potato,crop_count_sugar_beet,crop_count_rapeseed,crop_count_clover_alfalfa,crop_count_arable_grass,crop_count_permanent_grassland,crop_count_vineyard,crop_count_fruit_trees_and_other_woody_vegetation,crop_count_hops,crop_count_other_agricultural_use,ww_pct,sif_extract_id,mean_b2,mean_b3,mean_b4,mean_b8,mean_b5,mean_b6,mean_b7,mean_b8a,mean_b11,mean_b12,wasp_product_id,wasp_year_month,non_crop_low_ndvi_threshold,contaminated_20m_fraction_threshold
0.6574230194091797,2019-04-13T12:01:02Z,51.75811767578125,10.1484375,51.75506591796875,51.772705078125,51.76324462890625,51.74517822265625,10.14862060546875,10.138671875,10.15289306640625,10.1627197265625,0,0.0030059814453125,99163.6640625,279.589111328125,277.6686706542969,364.94195556640625,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10176,2019,32UNC,3728,0,793,0,0,133,139,0,533,0,0,0,0,0,410,0,1438,0,262,0,20,0.21271459227467812,1416,0.030227387047516367,0.050283894727386806,0.04596541812629117,0.23823764483966628,0.08741607968694406,0.19340704375667014,0.22872180718605511,0.2521695482034865,0.15942909996442534,0.09399366773390239,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04,0.45,0.5
0.3880748748779297,2019-04-13T12:01:02Z,51.8323974609375,10.053955078125,51.8289794921875,51.846435546875,51.8370361328125,51.8199462890625,10.05340576171875,10.0433349609375,10.05694580078125,10.06719970703125,1,0.0030078887939453125,98908.625,279.735595703125,277.26763916015625,342.561279296875,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10177,2019,32UNC,9373,0,4202,801,0,368,292,0,0,543,77,0,31,1939,433,0,625,0,62,0,0,0.44830897258081726,1417,0.040856188440810216,0.07133999256643742,0.05928484482438201,0.376056690206282,0.11394527399779351,0.3035176535490992,0.3659546156675247,0.38726366311143756,0.1874602795145271,0.1103554615667523,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04,0.45,0.5
0.4048423767089844,2019-04-13T12:01:02Z,51.8228759765625,10.06817626953125,51.8201904296875,51.8375244140625,51.82806396484375,51.81048583984375,10.067626953125,10.0574951171875,10.0718994140625,10.0819091796875,0,0.0030040740966796875,98875.9140625,279.7183837890625,277.2571716308594,342.71014404296875,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10178,2019,32UNC,7551,0,2872,263,0,532,0,0,0,561,186,13,15,727,174,3,2148,0,22,0,35,0.3803469739107403,1418,0.039568184626246734,0.06765188421145522,0.05747259729944433,0.3301757832494956,0.11060388383484941,0.26728275017494785,0.31617183344996547,0.34164090272918085,0.1903982505248423,0.11215937718684418,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04,0.45,0.5
0.4821176528930664,2019-04-13T12:01:02Z,51.8138427734375,10.08258056640625,51.810791015625,51.82843017578125,51.81890869140625,51.800537109375,10.08221435546875,10.072265625,10.08673095703125,10.09637451171875,0,0.00301361083984375,99126.3671875,279.70159912109375,277.5212097167969,355.28045654296875,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10179,2019,32UNC,6311,0,857,415,1,73,0,0,0,2,360,0,1,3669,198,0,732,0,3,0,0,0.13579464427190618,1419,0.03664881183932358,0.06331633826638453,0.05066229175475706,0.3457208794925995,0.1027551389353869,0.27733696016069564,0.3317873451623706,0.3545956478071642,0.1596838299296953,0.08889387345162378,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04,0.45,0.5
0.3617382049560547,2019-04-13T12:01:02Z,51.8038330078125,10.0965576171875,51.80084228515625,51.8192138671875,51.8089599609375,51.79119873046875,10.09649658203125,10.0867919921875,10.10089111328125,10.11077880859375,0,0.0030527114868164063,100012.28125,279.6824035644531,278.401123046875,397.51031494140625,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10180,2019,32UNC,10253,0,3184,2537,0,945,0,0,0,54,0,0,0,2656,66,0,521,0,276,0,14,0.3105432556324978,1420,0.03422775905644477,0.05943043807919143,0.04314273799494509,0.40300374052232796,0.09606980878899679,0.3077185843676618,0.3904362965447832,0.41419926199261947,0.15963545790003347,0.0834072794364307,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04,0.45,0.5
0.5771331787109375,2019-04-13T12:01:02Z,51.84979248046875,10.0438232421875,51.84649658203125,51.86346435546875,51.85430908203125,51.8370361328125,10.04327392578125,10.032958984375,10.0467529296875,10.05694580078125,0,0.0030384063720703125,99496.546875,279.7672424316406,277.8121032714844,366.725830078125,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10181,2019,32UNC,4560,0,963,686,0,924,0,0,169,81,0,0,310,1381,45,0,0,0,1,0,0,0.21118421052631578,1421,0.03580102886539002,0.06266997237305914,0.05673190435362536,0.3008994474611804,0.11022499054820388,0.24619459357277906,0.28797833648393156,0.31544249527410123,0.17839035916824192,0.10531372400756163,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04,0.45,0.5
0.2788829803466797,2019-04-13T12:01:02Z,51.840576171875,10.05816650390625,51.8375244140625,51.854736328125,51.845458984375,51.828125,10.0574951171875,10.0472412109375,10.061767578125,10.0718994140625,0,0.0030202865600585938,99160.6796875,279.7513122558594,277.5035095214844,353.0104064941406,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10182,2019,32UNC,3906,0,508,0,0,387,0,0,0,217,757,176,1212,52,155,0,198,0,106,0,138,0.1300563236047107,1422,0.04550682644056053,0.07352616369614144,0.07936326354040539,0.2549743035127188,0.12538887376658708,0.21213732562095938,0.24057750935692387,0.27066073494385867,0.21965273902687965,0.14970751956447736,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04,0.45,0.5
0.52910614013671875,2019-04-13T12:01:02Z,51.83172607421875,10.0726318359375,51.82867431640625,51.84576416015625,51.8363037109375,51.81890869140625,10.07232666015625,10.06207275390625,10.07659912109375,10.08673095703125,0,0.003002166748046875,98817.265625,279.7354736328125,277.1887512207031,339.3460388183594,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10183,2019,32UNC,3437,0,1574,640,0,95,27,0,9,229,297,0,0,11,168,0,224,0,158,0,5,0.4579575210939773,1423,0.031652616506118086,0.05500848737308006,0.04844906708322491,0.2525829992189535,0.09528605619146724,0.20416403052376025,0.23863562261533114,0.26634235171696147,0.16959472771418674,0.0995417967395076,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04,0.45,0.5
0.40141773223876953,2019-04-13T12:01:02Z,51.82183837890625,10.086669921875,51.8192138671875,51.83660888671875,51.826904296875,51.8089599609375,10.0867919921875,10.07672119140625,10.09100341796875,10.100830078125,0,0.003017425537109375,99187.1015625,279.7171325683594,277.57061767578125,357.29962158203125,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10184,2019,32UNC,8127,0,3836,684,0,678,1,161,1,585,83,0,0,1365,0,0,688,0,1,0,44,0.4720068906115418,1424,0.036696467605141295,0.06393038384191684,0.05233660925067764,0.3442766197429382,0.10382653913043505,0.27285641739130434,0.3317604173913047,0.3551156869565219,0.17244671304347803,0.09859544347826107,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04,0.45,0.5
0.43897247314453125,2019-04-13T12:01:02Z,51.8121337890625,10.10052490234375,51.8092041015625,51.8271484375,51.81744384765625,51.7996826171875,10.1007080078125,10.0908203125,10.10479736328125,10.11468505859375,0,0.0030460357666015625,99841.890625,279.69866943359375,278.2268981933594,388.80816650390625,1,oco2_LtSIF_190413_B11012Ar_221005180710s,oco2_LtSIF_190413_B11012Ar_221005180710s.nc4,2019-04-13,NIEDERSACHSEN,10185,2019,32UNC,7711,0,543,470,4,1496,0,0,0,981,566,0,108,1416,497,0,1355,0,210,0,65,0.07041888211645701,1425,0.04634692053623474,0.07591023897415956,0.0705286671847679,0.3489979114047009,0.12324108761329301,0.28251688066465225,0.33459482628398834,0.3579606495468275,0.20153040030211533,0.1303952794561932,SENTINEL2X_20190415-000000-000_L3A_T32UNC_C_V4-0,2019-04,0.45,0.5
